id,name,height,date_of_birth
nm0000627,Greta Scacchi,173,1960-02-18
nm0091368,Gerhard Bös,,
nm0000628,Johnathon Schaech,180,1969-09-10
nm0091505,Stephen Bogaert,,
nm0000631,Ridley Scott,174,1937-11-30
nm0092514,Victor Bojinov,,1972-01-23
nm0000638,William Shatner,177,1931-03-22
nm0094080,Fedor Bondarchuk,200,1967-05-09
nm0000642,Marina Sirtis,160,1955-03-29
nm0094744,Ron Bonk,200,
nm0000644,Helen Slater,173,1963-12-15
nm0095275,Bernie Bonvoisin,,1956-07-09
nm0000649,Paul Sorvino,191,1939-04-13
nm0096585,Miguel Borges,,1966-09-07
nm0000650,Talisa Soto,173,1967-03-27
nm0096719,Livia Borgognoni,,
nm0000654,Terence Stamp,183,1938-07-22
nm0097077,Josephine Bornebusch,200,1981-09-12
nm0000655,Eric Stoltz,180,1961-09-30
nm0097517,Derrick Borte,,1967-12-07
nm0000656,Madeleine Stowe,173,1958-08-18
nm0097893,Rahul Bose,200,1967-07-27
nm0000657,David Strathairn,182,1949-01-26
nm0098961,Nicolas Bouchaud,,
nm0000661,Donald Sutherland,192,1935-07-17
nm0099398,Nicolas Boukhrief,,1963-06-02
nm0000662,Kiefer Sutherland,174,1966-12-21
nm0099797,Pascal Bourdiaux,,
nm0000665,D.B. Sweeney,183,1961-11-14
nm0099841,Gilles Bourdos,,1963
nm0000666,Lili Taylor,157,1967-02-20
nm0101880,Philip Boyd,200,1975-05-12
nm0102765,Jacek Braciak,200,1968-05-12
nm0000668,Emma Thompson,173,1959-04-15
nm0103971,Faouzi Brahimi,200,1973-03-02
nm0000670,Lea Thompson,160,1961-05-31
nm0104476,Jo Brand,200,1957-07-23
nm0000671,Billy Bob Thornton,178,1955-08-04
nm0105169,Ash Brannon,,
nm0000673,Marisa Tomei,164,1964-12-04
nm0106620,Barbara Bredero,,
nm0000675,Jeanne Tripplehorn,170,1963-06-10
nm0106895,Márcia Breia,200,1944-06-17
nm0000677,Robin Tunney,163,1972-06-19
nm0107165,Alex Brendemühl,,1972-11-27
nm0000678,Kathleen Turner,173,1954-06-19
nm0108122,Bryan Brewer,,
nm0000679,Deborah Kara Unger,170,1966-05-12
nm0108295,Paget Brewster,200,1969-03-10
nm0108637,Jon Briddell,200,1966-03-01
nm0108725,Don Bridges,200,1950-11-04
nm0000685,Jon Voight,189,1938-12-29
nm0109973,Vladimir Brichta,200,1976-03-22
nm0000689,Julie Warner,160,1965-02-09
nm0110300,Stéphane Brizé,,1966-10-18
nm0000700,Debra Winger,163,1955-05-16
nm0110491,Nicolai Cleve Broch,200,1975-11-14
nm0000701,Kate Winslet,169,1975-10-05
nm0110532,Aaron Brock,,
nm0000702,Reese Witherspoon,157,1976-03-22
nm0111600,Natali Broods,,1976-09-11
nm0000704,Elijah Wood,168,1981-01-28
nm0112498,Eric Bross,,1964-01-21
nm0000705,Robin Wright,168,1966-04-08
nm0113105,Betsey Brown,,
