movie_id,avg_rating,total_votes
tt2011311,6.3,17255
tt2018069,5.3,4550
tt2018111,6.2,697
tt2024521,6.5,2463
tt2034176,4.2,2358
tt2034800,5.9,115603
tt2039338,5.2,36853
tt2039380,3,478
tt2039412,4.2,787
tt2042692,4.2,214
tt2049518,5.4,152
tt2050452,6.6,302
tt2051850,4.9,606
tt2062700,5.7,16308
tt2066051,7.4,78744
tt2069797,5.7,5122
tt2072233,5.6,26774
tt2073600,8.2,1509
tt2076826,4.5,311
tt2088950,5.6,3582
tt2090465,6.1,10941
tt2091256,6.2,22898
tt2094195,5.1,127
tt2098669,3.9,157
tt2114504,4.1,2941
